PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10462,0,0,0.34,-73.027,-27.485,0,0,0,0
10463,0,0,0.355,-72.923,-28.545,0,0,0,0
10464,0,0,0.365,-72.852,-29.616,0,0,0,0
10465,0,0,0.381,-72.784,-30.693,0,0,0,0
10466,0,0,0.386,-72.713,-31.778,0,0,0,0
10467,0,0,0.378,-72.626,-32.886,0,0,0,0
10468,0,0,0.392,-72.57,-33.955,0,0,0,0
10469,0,0,0.403,-72.507,-35.03,0,0,0,0
10470,0,0,0.428,-72.439,-36.072,0,0,0,0
10471,0,0,0.478,-72.384,-37.136,0,0,0,0
10472,0,0,0.326,-72.304,-38.23,0,0,0,0
10473,0,0,0.303,-72.225,-39.307,0,0,0,0
10474,0,0,0.389,-72.189,-40.378,0,0,0,0
10475,0,0,0.566,-72.131,-41.471,0,0,0,0
10476,0,0,0.557,-72.13,-42.53,0,0,0,0
10477,0,0,0.476,-72.066,-43.642,0,0,0,0
10478,0,0,0.481,-72.025,-44.758,0,0,0,0
10479,0,0,0.485,-71.987,-45.762,0,0,0,0
10480,0,0,0.489,-71.95,-46.767,0,0,0,0
10481,0,0,0.493,-71.913,-47.771,0,0,0,0
10482,0,0,0.497,-71.875,-48.776,0,0,0,0
10483,0,0,0.501,-71.838,-49.781,0,0,0,0
10484,0,0,0.505,-71.801,-50.785,0,0,0,0
10485,0,0,0.509,-71.763,-51.79,0,0,0,0
10486,0,0,0.513,-71.726,-52.794,0,0,0,0
10487,0,0,0.517,-71.689,-53.799,0,0,0,0
10488,0,0,0.521,-71.652,-54.804,0,0,0,0
